date,open,high,low,close,volume
2016-07-15,24.73,24.825,24.625,24.695,120547960.0
2016-07-18,24.675,25.0325,24.65,24.9575,145975468.0
2016-07-19,24.89,25.0,24.835,24.9675,95119696.0
2016-07-20,25.0,25.115,24.9338,24.99,105103872.0
2016-07-21,24.9575,25.25,24.7825,24.8575,130808112.0
2016-07-22,24.815,24.825,24.5775,24.665,113254676.0
2016-07-25,24.5625,24.71,24.23,24.335,161531684.0
2016-07-26,24.205,24.4925,24.105,24.1675,224959288.0
2016-07-27,26.0663,26.0875,25.6875,25.7375,369379280.0
2016-07-28,25.7075,26.1125,25.705,26.085,159479356.0
2016-07-29,26.0475,26.1375,25.92,26.0525,110934752.0
2016-08-01,26.1025,26.5375,26.1025,26.5125,152671484.0
2016-08-02,26.5125,26.5175,26.0,26.12,135266224.0
2016-08-03,26.2025,26.46,26.1925,26.4475,120810564.0
2016-08-04,26.395,26.5,26.32,26.4675,109634600.0
2016-08-05,26.5675,26.9125,26.545,26.87,162213608.0
2016-08-08,26.88,27.0925,26.79,27.0925,112148880.0
2016-08-09,27.0575,27.235,27.0025,27.2025,105260816.0
2016-08-10,27.1775,27.225,26.94,27.0,96034020.0
2016-08-11,27.13,27.2325,26.9625,26.9825,109938024.0
2016-08-12,26.945,27.11,26.945,27.045,74641736.0
2016-08-15,27.035,27.385,27.02,27.37,103472836.0
2016-08-16,27.4075,27.5575,27.3025,27.345,135177792.0
2016-08-17,27.275,27.3425,27.085,27.305,101423904.0
2016-08-18,27.3075,27.4,27.255,27.27,87938812.0
2016-08-19,27.1925,27.4225,27.09,27.34,101472288.0
2016-08-22,27.215,27.275,26.9625,27.1275,103280920.0
2016-08-23,27.1475,27.33,27.1325,27.2125,85030676.0
2016-08-24,27.1413,27.1875,26.92,27.0075,94700324.0
2016-08-25,26.8475,26.97,26.67,26.8925,100344992.0
2016-08-26,26.8525,26.9875,26.5775,26.735,111065164.0
2016-08-29,26.655,26.86,26.5725,26.705,99881200.0
2016-08-30,26.45,26.625,26.375,26.5,99455780.0
2016-08-31,26.415,26.6425,26.41,26.525,118649624.0
2016-09-01,26.535,26.7,26.405,26.6825,106806092.0
2016-09-02,26.925,27.0,26.705,26.9325,107209800.0
2016-09-06,26.975,27.075,26.8775,26.925,107521564.0
2016-09-07,26.9575,27.19,26.7675,27.09,169457312.0
2016-09-08,26.8125,26.8175,26.31,26.38,212008104.0
2016-09-09,26.16,26.43,25.7825,25.7825,186227936.0
2016-09-12,25.6625,26.43,25.6325,26.36,181171080.0
2016-09-13,26.8775,27.1975,26.81,26.9875,248704760.0
2016-09-14,27.1825,28.2575,27.15,27.9425,449361272.0
2016-09-15,28.465,28.9325,28.3725,28.8925,362452708.0
2016-09-16,28.78,29.0325,28.51,28.73,319547644.0
2016-09-19,28.7975,29.045,28.3125,28.395,188092184.0
2016-09-20,28.2625,28.53,28.1275,28.3925,138057076.0
2016-09-21,28.4625,28.4973,28.1103,28.3875,144012740.0
2016-09-22,28.5875,28.735,28.5,28.655,124295936.0
2016-09-23,28.605,28.6975,27.8875,28.1775,209924604.0
2016-09-26,27.91,28.3475,27.8875,28.22,119477768.0
2016-09-27,28.25,28.295,28.085,28.2725,98429648.0
2016-09-28,28.4225,28.66,28.3575,28.4875,118564340.0
2016-09-29,28.29,28.45,27.95,28.045,143547960.0
2016-09-30,28.115,28.3425,27.95,28.2625,145516424.0
2016-10-03,28.1775,28.2625,28.07,28.13,86807040.0
2016-10-04,28.265,28.5775,28.1575,28.25,118947340.0
2016-10-05,28.35,28.415,28.1725,28.2625,85812356.0
2016-10-06,28.425,28.585,28.2825,28.4725,115117252.0
2016-10-07,28.5775,28.64,28.3775,28.515,97433772.0
2016-10-10,28.755,29.1875,28.68,29.0125,144943824.0
2016-10-11,29.425,29.6725,29.05,29.075,256164172.0
2016-10-12,29.3375,29.495,29.1875,29.335,150347148.0
2016-10-13,29.1975,29.36,28.93,29.245,140769624.0
2016-10-14,29.47,29.5425,29.2825,29.4075,142608764.0
2016-10-17,29.3325,29.46,29.195,29.3875,94499584.0
2016-10-18,29.545,29.5525,29.3625,29.3675,98213912.0
2016-10-19,29.3125,29.44,28.45,29.28,80138376.0
2016-10-20,29.215,29.345,29.0825,29.265,96503204.0
2016-10-21,29.2025,29.2275,29.07,29.15,92770660.0
2016-10-24,29.275,29.435,29.25,29.4125,94154692.0
2016-10-25,29.4875,29.59,29.3275,29.5625,192515880.0
2016-10-26,28.5775,28.925,28.3275,28.8975,264536876.0
2016-10-27,28.8475,28.965,28.525,28.62,138248180.0
2016-10-28,28.4675,28.8025,28.3625,28.43,151446648.0
2016-10-31,28.4125,28.5575,28.3,28.385,105677592.0
2016-11-01,28.365,28.4425,27.6325,27.8725,175303248.0
2016-11-02,27.85,28.0875,27.8075,27.8975,113326836.0
2016-11-03,27.745,27.865,27.3875,27.4575,107730408.0
2016-11-04,27.1325,27.5625,27.0275,27.21,123347988.0
2016-11-07,27.52,27.6275,27.365,27.6025,130240000.0
2016-11-08,27.5775,27.93,27.425,27.765,97016716.0
2016-11-09,27.47,27.83,27.0125,27.72,236705444.0
2016-11-10,27.7725,27.7725,26.4575,26.9475,228538164.0
2016-11-11,26.78,27.2175,26.6375,27.1075,136575592.0
2016-11-14,26.9275,26.9523,26.02,26.4275,204702016.0
2016-11-15,26.6425,26.92,26.5398,26.7775,129058040.0
2016-11-16,26.675,27.5575,26.65,27.4975,235362088.0
2016-11-17,27.4525,27.5875,27.2075,27.4875,110528012.0
2016-11-18,27.43,27.635,27.415,27.515,113715668.0
2016-11-21,27.53,27.9975,27.5025,27.9325,117058284.0
2016-11-22,27.9875,28.105,27.85,27.95,103862136.0
