,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
68,110265,Olivier Floris Johannes Siegelaar,M,29.0,197.0,100.0,Netherlands,NED,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Coxed Eights,Bronze
69,111300,Martin Sinkovi,M,26.0,188.0,95.0,Croatia,CRO,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Double Sculls,Gold
70,111301,Valent Sinkovi,M,28.0,187.0,93.0,Croatia,CRO,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Double Sculls,Gold
71,112904,Franck Robert Bernard Solforosi,M,31.0,184.0,70.0,France,FRA,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Lightweight Coxless Fours,Bronze
72,115643,Are Weierholt Strandli,M,27.0,181.0,69.0,Norway,NOR,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Lightweight Double Sculls,Bronze
73,117258,Ondej Synek,M,33.0,199.0,105.0,Czech Republic,CZE,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Single Sculls,Bronze
74,117835,Kaspar Taimsoo,M,29.0,194.0,95.0,Estonia,EST,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Quadruple Sculls,Bronze
75,121635,Lucas Tramr,M,26.0,183.0,75.0,Switzerland,SUI,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Lightweight Coxless Fours,Gold
76,121915,"Andrew ""Andy"" Triggs Hodge",M,37.0,192.0,97.0,Great Britain,GBR,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Coxed Eights,Gold
77,122530,Olaf Karl Tufte,M,40.0,193.0,94.0,Norway,NOR,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Double Sculls,Bronze
78,123195,Dirk Uittenbogaard,M,26.0,199.0,93.0,Netherlands,NED,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Coxed Eights,Bronze
79,126144,"Pieter Gilles ""Mechiel"" Versluis",M,29.0,197.0,95.0,Netherlands,NED,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Coxed Eights,Bronze
80,126330,Giuseppe Vicino,M,23.0,195.0,95.0,Italy,ITA,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Coxless Fours,Bronze
81,129601,Phillipp Wende,M,31.0,199.0,90.0,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Quadruple Sculls,Gold
82,130259,Peter Noel Jan Wiersum,M,31.0,173.0,55.0,Netherlands,NED,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Coxed Eights,Bronze
83,130298,Tone Wieten,M,22.0,201.0,102.0,Netherlands,NED,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Coxed Eights,Bronze
84,131072,Kasper Winther Jrgensen,M,31.0,182.0,73.0,Denmark,DEN,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Lightweight Coxless Fours,Silver
